ProcessID,Arrival_Time,Burst_Time,Priority,Start_Time,Completion_Time,Turnaround_Time,Waiting_Time
P1,0,50,7,0,50,50,0
P2,1,19,1,50,69,68,49
P7,10,34,2,69,103,93,59
P57,78,28,1,103,131,53,25
P58,80,3,1,131,134,54,51
P60,83,23,1,134,157,74,51
P72,104,4,1,157,161,57,53
P83,113,14,1,161,175,62,48
P102,141,43,1,175,218,77,34
P103,143,16,1,218,234,91,75
P119,167,46,1,234,280,113,67
P124,170,13,1,280,293,123,110
P134,186,17,1,293,310,124,107
P147,205,4,1,310,314,109,105
P164,229,42,1,314,356,127,85
P176,248,35,1,356,391,143,108
P179,253,23,1,391,414,161,138
P185,265,44,1,414,458,193,149
P202,294,5,1,458,463,169,164
P205,300,40,1,463,503,203,163
P207,303,39,1,503,542,239,200
P228,335,16,1,542,558,223,207
P248,362,36,1,558,594,232,196
P250,365,37,1,594,631,266,229
P256,375,34,1,631,665,290,256
P265,385,24,1,665,689,304,280
P276,399,41,1,689,730,331,290
P278,402,42,1,730,772,370,328
P300,435,42,1,772,814,379,337
P308,446,4,1,814,818,372,368
P319,461,41,1,818,859,398,357
P335,488,36,1,859,895,407,371
P341,495,6,1,895,901,406,400
P344,501,43,1,901,944,443,400
P348,504,38,1,944,982,478,440
P376,552,27,1,982,1009,457,430
P377,553,5,1,1009,1014,461,456
P382,562,13,1,1014,1027,465,452
P387,566,50,1,1027,1077,511,461
P421,624,35,1,1077,1112,488,453
P426,630,7,1,1112,1119,489,482
P437,640,27,1,1119,1146,506,479
P449,654,33,1,1146,1179,525,492
P465,680,9,1,1179,1188,508,499
P483,694,2,1,1188,1190,496,494
P507,729,3,1,1190,1193,464,461
P516,745,22,1,1193,1215,470,448
P527,767,5,1,1215,1220,453,448
P542,782,27,1,1220,1247,465,438
P543,785,8,1,1247,1255,470,462
P556,811,11,1,1255,1266,455,444
P562,816,41,1,1266,1307,491,450
P563,817,31,1,1307,1338,521,490
P598,874,28,1,1338,1366,492,464
P612,898,27,1,1366,1393,495,468
P633,929,23,1,1393,1416,487,464
P642,934,34,1,1416,1450,516,482
P644,937,50,1,1450,1500,563,513
P685,1001,21,1,1500,1521,520,499
P700,1028,27,1,1521,1548,520,493
P719,1062,45,1,1548,1593,531,486
P727,1075,3,1,1593,1596,521,518
P753,1101,4,1,1596,1600,499,495
P783,1152,7,1,1600,1607,455,448
P787,1159,33,1,1607,1640,481,448
P808,1193,1,1,1640,1641,448,447
P816,1205,28,1,1641,1669,464,436
P834,1223,21,1,1669,1690,467,446
P861,1266,47,1,1690,1737,471,424
P879,1290,45,1,1737,1782,492,447
P883,1296,14,1,1782,1796,500,486
P897,1320,25,1,1796,1821,501,476
P913,1341,10,1,1821,1831,490,480
P915,1344,34,1,1831,1865,521,487
P925,1363,9,1,1865,1874,511,502
P926,1366,6,1,1874,1880,514,508
P929,1371,13,1,1880,1893,522,509
P931,1376,48,1,1893,1941,565,517
P950,1409,21,1,1941,1962,553,532
P955,1420,13,1,1962,1975,555,542
P988,1466,46,1,1975,2021,555,509
P1010,1490,22,1,2021,2043,553,531
P1012,1494,33,1,2043,2076,582,549
P1013,1497,27,1,2076,2103,606,579
P1014,1497,16,1,2103,2119,622,606
P1021,1504,29,1,2119,2148,644,615
P1022,1505,13,1,2148,2161,656,643
P1024,1510,45,1,2161,2206,696,651
P1031,1523,50,1,2206,2256,733,683
P1033,1526,39,1,2256,2295,769,730
P1040,1531,39,1,2295,2334,803,764
P1079,1585,26,1,2334,2360,775,749
P1086,1589,44,1,2360,2404,815,771
P1090,1592,34,1,2404,2438,846,812
P1119,1634,19,1,2438,2457,823,804
P1120,1637,6,1,2457,2463,826,820
P1130,1648,24,1,2463,2487,839,815
